Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
killGauge(),LiquidityGaugeV5,20220822-mainnet-gauge-factory-v2,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
killGauge(),OptimismRootGauge,20220628-optimism-root-gauge-factory,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
killGauge(),OptimismRootGauge,20220823-optimism-root-gauge-factory-v2,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
killGauge(),PolygonRootGauge,20220413-polygon-root-gauge-factory,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
killGauge(),PolygonRootGauge,20220823-polygon-root-gauge-factory-v2,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
killGauge(),PolygonZkEVMRootGauge,20230526-zkevm-root-gauge-factory,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
killGauge(),SingleRecipientGauge,20220325-single-recipient-gauge-factory,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
killGauge(),SingleRecipientGauge,20230215-single-recipient-gauge-factory-v2,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0xdcdbf71A870cc60C6F9B621E28a7D3Ffd6Dd4965', '0xC92E8bdf79f0507f65a392b0ab4667716BFE0110', '0xAc9f49eF3ab0BbC929f7b1bb0A17E1Fca5786251', '0x886A3Ec7bcC508B8795990B60Fa21f85F9dB7948', '0x2536dfeeCB7A0397CF98eDaDA8486254533b1aFA', '0xfeA793Aa415061C483D2390414275AD314B3F621']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
"mint(address,uint256)",BalancerTokenAdmin,20220325-balancer-token-admin,['0x239e55F427D44C3cc793f49bFB507ebe76638a2b'],['UNDEF']
pause(),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),AaveLinearPool,20230410-aave-linear-pool-v5,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),ComposableStablePool,20220906-composable-stable-pool,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),ComposableStablePool,20221122-composable-stable-pool-v2,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),ComposableStablePool,20230206-composable-stable-pool-v3,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),ComposableStablePool,20230320-composable-stable-pool-v4,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),ComposableStablePool,20230711-composable-stable-pool-v5,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),ERC4626LinearPool,20230409-erc4626-linear-pool-v4,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),EulerLinearPool,20230208-euler-linear-pool,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
pause(),GearboxLinearPool,20230409-gearbox-linear-pool-v2,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),ManagedPool,20230411-managed-pool-v2,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),SiloLinearPool,20230410-silo-linear-pool-v2,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),WeightedPool,20220908-weighted-pool-v2,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),WeightedPool,20230206-weighted-pool-v3,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),WeightedPool,20230320-weighted-pool-v4,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
pause(),YearnLinearPool,20230409-yearn-linear-pool-v2,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
"registerProtocolId(uint256,string)",ProtocolIdRegistry,20230223-protocol-id-registry,['0xc38c5f97B34E175FFd35407fc91a937300E33860'],['UNDEF']
removePoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0x02f35dA6A02017154367Bc4d47bb6c7D06C7533B'],['UNDEF']
