Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0x195CcCBE464EF9073d1f7A1ba1C9Bf0f56dfFFff', '0x1a58897Ab366082028ced3740900ecBD765Af738', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9']","['20220720-batch-relayer-v3/BalancerRelayer', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer']"
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0x195CcCBE464EF9073d1f7A1ba1C9Bf0f56dfFFff', '0x1a58897Ab366082028ced3740900ecBD765Af738', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9']","['20220720-batch-relayer-v3/BalancerRelayer', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer']"
setSwapFeePercentage(uint256),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
setSwapFeePercentage(uint256),AaveLinearPool,20230206-aave-rebalanced-linear-pool-v4,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
setSwapFeePercentage(uint256),ComposableStablePool,20220906-composable-stable-pool,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
setSwapFeePercentage(uint256),ComposableStablePool,20221122-composable-stable-pool-v2,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
setSwapFeePercentage(uint256),ComposableStablePool,20230206-composable-stable-pool-v3,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
setSwapFeePercentage(uint256),ComposableStablePool,20230320-composable-stable-pool-v4,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
setSwapFeePercentage(uint256),ERC4626LinearPool,20230206-erc4626-linear-pool-v3,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
setSwapFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,['0xacAaC3e6D6Df918Bf3c809DFC7d42de0e4a72d4C'],['20220725-protocol-fee-percentages-provider/ProtocolFeePercentagesProvider']
setSwapFeePercentage(uint256),StablePool,20220609-stable-pool-v2,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
setSwapFeePercentage(uint256),WeightedPool,20220908-weighted-pool-v2,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
setSwapFeePercentage(uint256),WeightedPool,20230206-weighted-pool-v3,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
